"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test E2E flow","3","0","","0"
"0","","0","Test main page as cards","1","0","","0"
"0","","0","Test Checkout page error messages","3","0","","0"
"0","","0","","4","0","","0"
